nature_juridique,5648,SA de crédit immobilier à directoire 
nature_juridique,5651,SA coopérative de consommation à directoire 
nature_juridique,5652,SA coopérative de commerçants-détaillants à directoire
nature_juridique,5653,SA coopérative artisanale à directoire 
nature_juridique,5654,SA coopérative d'intérêt maritime à directoire 
nature_juridique,5655,SA coopérative de transport à directoire 
nature_juridique,5658,SA coopérative ouvrière de production (SCOP) à directoire
nature_juridique,5659,SA union de sociétés coopératives à directoire 
nature_juridique,5660,Autre SA coopérative à directoire
nature_juridique,5670,Société de Participations Financières de Profession Libérale Société anonyme à Directoire (SPFPL SA à directoire)
nature_juridique,5685,Société d'exercice libéral à forme anonyme à directoire 
nature_juridique,5699,SA à directoire (s.a.i.)
nature_juridique,5710,"SAS, société par actions simplifiée"
nature_juridique,5770,Société de Participations Financières de Profession Libérale Société par actions simplifiée (SPFPL SAS)
nature_juridique,5785,Société d'exercice libéral par action simplifiée 
nature_juridique,5800,Société européenne 
nature_juridique,6100,Caisse d'Épargne et de Prévoyance 
nature_juridique,6210,Groupement européen d'intérêt économique (GEIE) 
nature_juridique,6220,Groupement d'intérêt économique (GIE) 
nature_juridique,6316,Coopérative d'utilisation de matériel agricole en commun (CUMA) 
nature_juridique,6317,Société coopérative agricole 
nature_juridique,6318,Union de sociétés coopératives agricoles 
nature_juridique,6411,Société d'assurance à forme mutuelle
nature_juridique,6511,Sociétés Interprofessionnelles de Soins Ambulatoires 
nature_juridique,6521,Société civile de placement collectif immobilier (SCPI) 
nature_juridique,6532,Société civile d'intérêt collectif agricole (SICA) 
nature_juridique,6533,Groupement agricole d'exploitation en commun (GAEC) 
nature_juridique,6534,Groupement foncier agricole 
nature_juridique,6535,Groupement agricole foncier 
nature_juridique,6536,Groupement forestier 
nature_juridique,6537,Groupement pastoral 
nature_juridique,6538,Groupement foncier et rural
nature_juridique,6539,Société civile foncière 
nature_juridique,6540,Société civile immobilière 
nature_juridique,6541,Société civile immobilière de construction-vente
nature_juridique,6542,Société civile d'attribution 
nature_juridique,6543,Société civile coopérative de construction 
nature_juridique,6544,Société civile immobilière d' accession progressive à la propriété
nature_juridique,6551,Société civile coopérative de consommation 
nature_juridique,6554,Société civile coopérative d'intérêt maritime 
nature_juridique,6558,Société civile coopérative entre médecins 
nature_juridique,6560,Autre société civile coopérative 
nature_juridique,6561,SCP d'avocats 
nature_juridique,6562,SCP d'avocats aux conseils 
nature_juridique,6563,SCP d'avoués d'appel 
nature_juridique,6564,SCP d'huissiers 
nature_juridique,6565,SCP de notaires 
nature_juridique,6566,SCP de commissaires-priseurs 
nature_juridique,6567,SCP de greffiers de tribunal de commerce 
nature_juridique,6568,SCP de conseils juridiques 
nature_juridique,6569,SCP de commissaires aux comptes 
nature_juridique,6571,SCP de médecins 
nature_juridique,6572,SCP de dentistes 
nature_juridique,6573,SCP d'infirmiers 
nature_juridique,6574,SCP de masseurs-kinésithérapeutes
nature_juridique,6575,SCP de directeurs de laboratoire d'analyse médicale 
nature_juridique,6576,SCP de vétérinaires 
nature_juridique,6577,SCP de géomètres experts
nature_juridique,6578,SCP d'architectes 
nature_juridique,6585,Autre société civile professionnelle
nature_juridique,6589,Société civile de moyens 
nature_juridique,6595,Caisse locale de crédit mutuel 
nature_juridique,6596,Caisse de crédit agricole mutuel 
nature_juridique,6597,Société civile d'exploitation agricole 
nature_juridique,6598,Exploitation agricole à responsabilité limitée 
nature_juridique,6599,Autre société civile 
nature_juridique,6901,Autre personne de droit privé inscrite au registre du commerce et des sociétés
nature_juridique,7111,Autorité constitutionnelle 
nature_juridique,7112,Autorité administrative ou publique indépendante
nature_juridique,7113,Ministère 
nature_juridique,7120,Service central d'un ministère 
nature_juridique,7150,Service du ministère de la Défense 
