Code SINOE EPCI adherant,Nom adherant,Code sinoe SYNDICAT,Nom syndicat
57764,Communauté de Communes Berry-loire-vauvise,365,Sictrem de Baugy
3846,Cc des Vals dAix et Isable,370,Seedr - Syndicat dEtudes et dElimination des Dechets du Roannais
52943,Charlieu Belmont Communaute,370,Seedr - Syndicat dEtudes et dElimination des Dechets du Roannais
53223,Roannais Agglomération,370,Seedr - Syndicat dEtudes et dElimination des Dechets du Roannais
57710,Communauté de Communes de Forez-est,370,Seedr - Syndicat dEtudes et dElimination des Dechets du Roannais
712,Communauté de Communes du Pays dUrfe,370,Seedr - Syndicat dEtudes et dElimination des Dechets du Roannais
997,Cc Pays Entre Loire et Rhone,370,Seedr - Syndicat dEtudes et dElimination des Dechets du Roannais
56867,Communauté dAgglomération Marne et Gondoire,412,Sietrem de Lagny Sur Marne
56928,Communauté dAgglomération Paris - Vallée de la Marne,412,Sietrem de Lagny Sur Marne
17945,Val dEurope Agglomération,413,Smitom du Nord Seine et Marne
17947,Cc du Pays Fertois,413,Smitom du Nord Seine et Marne
17948,Cc du Pays Crecois,413,Smitom du Nord Seine et Marne
17950,Cc du Pays de lOurcq,413,Smitom du Nord Seine et Marne
52389,Communauté de Communes Plaines et Monts de France,413,Smitom du Nord Seine et Marne
57363,Communauté dAgglomération du Pays de Meaux,413,Smitom du Nord Seine et Marne
55956,Communauté de Communes du Bassin de Joinville en Champagne,431,Syndicat Mixte Intercommunal pour la Collecte et le Traitement des Om du Nord Haut-marne
57622,Communauté dAgglomération de Saint-dizier Der et Blaise,431,Syndicat Mixte Intercommunal pour la Collecte et le Traitement des Om du Nord Haut-marne
21273,Communauté de Communes du Val dOrne,458,Sitcom Région dArgentan
56844,Communauté de Communes des Sources de lOrne,458,Sitcom Région dArgentan
57865,Communauté de Communes Argentan Intercom,458,Sitcom Région dArgentan
57871,Communauté de Communes du Pays Fertois et du Bocage Carrougien,458,Sitcom Région dArgentan
57049,Communauté de Communes du Grand-Armagnac,478,Sictom Ouest
57050,Communauté de Communes Armagnac-Adour,478,Sictom Ouest
57053,Communauté de Communes du Bas-Armagnac,478,Sictom Ouest
991,Communauté de Communes du Canton dAire sur lAdour,478,Sictom Ouest
57800,Communauté de Communes Val-de-cher-controis,492,Syndicat Mixte Intercommunal Enlèvement et Elimination Ordures Ménagères du Val de Cher
57543,Communauté dAgglomération Saumur Val de Loire,507,Sictod de la Région Nord-est Anjou
56183,Communauté de Communes Granville, Terre et Mer,509,Syndicat Mixte de la Perrelle
57848,Communauté de Communes Coutances Mer et Bocage,509,Syndicat Mixte de la Perrelle
2163,Sietom Mauriac-pleaux-salers-st Cernin,534,Syndicat Mixte Départemental pour le Traitement et le Transport des Ordures Ménagères
2333,Communauté de Communes de Sumene Artense,534,Syndicat Mixte Départemental pour le Traitement et le Transport des Ordures Ménagères
32441,Communauté dAgglomération Tulle Agglo,534,Syndicat Mixte Départemental pour le Traitement et le Transport des Ordures Ménagères
57874,Communauté de Communes Xaintrie Valdordogne,534,Syndicat Mixte Départemental pour le Traitement et le Transport des Ordures Ménagères
57879,Communauté de Communes Vézère-monédières-millesources,534,Syndicat Mixte Départemental pour le Traitement et le Transport des Ordures Ménagères
57880,Communauté de Communes Haute-corrèze Communauté,534,Syndicat Mixte Départemental pour le Traitement et le Transport des Ordures Ménagères
57882,Communauté de Communes de Ventadour - Egletons - Monédières,534,Syndicat Mixte Départemental pour le Traitement et le Transport des Ordures Ménagères
5934,Sirtom de la Region de Brive la Gaillarde,534,Syndicat Mixte Départemental pour le Traitement et le Transport des Ordures Ménagères
57415,Communauté de Communes Leff Armor Communauté,539,Smitom de Launay Lantic
57608,Saint-brieuc Armor Agglomération,539,Smitom de Launay Lantic
17777,Pontivy Communaute,566,Sittom-mi
4224,Roi Morvan Communauté,566,Sittom-mi
57811,Communauté de Communes Centre Morbihan Communauté,566,Sittom-mi
57812,de lOust à Brocéliande Communauté,566,Sittom-mi
24382,Communauté de Communes du Pays de lOzon,567,Sitom Sud Rhone
4083,Cc Vallee du Garon,567,Sitom Sud Rhone
4084,Communauté de Communes Pays Mornantais,567,Sitom Sud Rhone
2414,Communauté de Communes du Val de Gray,568,Sictom du Val de Saône
2417,Communauté de Communes des Combes,568,Sictom du Val de Saône
42697,Communauté de Communes des Monts de Gy,568,Sictom du Val de Saône
53600,Communauté de Communes de la Haute Comté,568,Sictom du Val de Saône
53660,Communauté de Communes Terres de Saône,568,Sictom du Val de Saône
53661,Communauté de Communes du Triangle Vert,568,Sictom du Val de Saône
56511,Communauté de Communes du Pays de Montbozon et du Chanois,568,Sictom du Val de Saône
17675,Métropole Toulon Provence Méditerranée,577,Syndicat Intercommunal de Transport et Traitement des Om de lAire Toulonaise
2380,Communauté dAgglomération Sud Sainte Baume,577,Syndicat Intercommunal de Transport et Traitement des Om de lAire Toulonaise
2385,Communauté de Communes Vallée du Gapeau,577,Syndicat Intercommunal de Transport et Traitement des Om de lAire Toulonaise
